#STIG ID,Legacy Group ID,Legacy Rule ID,Old Rule ID,New Group ID,New Rule ID
WN19-DC-000430,V-93211,SV-103299,SV-103299r3_rule,V-205877,SV-205877r569188_rule
WN19-EP-000010,V-93313,SV-103401,SV-103401r1_rule,V-205878,SV-205878r569188_rule
WN19-EP-000020,V-93565,SV-103651,SV-103651r1_rule,V-205831,SV-205831r569188_rule
WN19-EP-000030,V-93315,SV-103403,SV-103403r1_rule,V-205879,SV-205879r569188_rule
WN19-EP-000040,V-93317,SV-103405,SV-103405r1_rule,V-205880,SV-205880r569188_rule
WN19-EP-000050,V-93319,SV-103407,SV-103407r1_rule,V-205881,SV-205881r569188_rule
WN19-EP-000060,V-93321,SV-103409,SV-103409r1_rule,V-205882,SV-205882r569188_rule
WN19-EP-000070,V-93323,SV-103411,SV-103411r1_rule,V-205883,SV-205883r569188_rule
WN19-EP-000080,V-93325,SV-103413,SV-103413r1_rule,V-205884,SV-205884r569188_rule
WN19-EP-000090,V-93327,SV-103415,SV-103415r1_rule,V-205885,SV-205885r569188_rule
WN19-EP-000100,V-93329,SV-103417,SV-103417r1_rule,V-205886,SV-205886r569188_rule
WN19-EP-000110,V-93331,SV-103419,SV-103419r1_rule,V-205887,SV-205887r569188_rule
WN19-EP-000120,V-93333,SV-103421,SV-103421r1_rule,V-205888,SV-205888r569188_rule
WN19-EP-000130,V-93335,SV-103423,SV-103423r1_rule,V-205889,SV-205889r569188_rule
WN19-EP-000140,V-93337,SV-103425,SV-103425r1_rule,V-205890,SV-205890r569188_rule
WN19-EP-000150,V-93339,SV-103427,SV-103427r1_rule,V-205891,SV-205891r569188_rule
WN19-EP-000160,V-93341,SV-103429,SV-103429r1_rule,V-205892,SV-205892r569188_rule
WN19-EP-000170,V-93343,SV-103431,SV-103431r1_rule,V-205893,SV-205893r569188_rule
WN19-EP-000180,V-93345,SV-103433,SV-103433r1_rule,V-205894,SV-205894r569188_rule
WN19-EP-000190,V-93347,SV-103435,SV-103435r1_rule,V-205895,SV-205895r569188_rule
WN19-EP-000200,V-93349,SV-103437,SV-103437r1_rule,V-205896,SV-205896r569188_rule
WN19-EP-000210,V-93351,SV-103439,SV-103439r1_rule,V-205897,SV-205897r569188_rule
WN19-EP-000220,V-93353,SV-103441,SV-103441r1_rule,V-205898,SV-205898r569188_rule
